ban,f1,bat_bia,nguong_refuse
Full,0.9753694581280788,0.96,0.7950000000000003
− margin loss,0.9867549668874172,0.98,0.5
− hard-neg mining,0.9884678747940692,0.9766666666666667,0.5
− calibration,0.9753694581280788,0.96,0.7300000000000002
− NLI (chỉ rule),0.0,0.0,
