ban,f1,bat_bia,nguong_refuse
Full,0.3533145275035261,0.26782118405155053,
− margin loss,0.3459944751381216,0.2436568666935159,
− hard-neg mining,0.3715753424657534,0.44220700765203386,
− calibration,0.3533145275035261,0.26782118405155053,
